jockey,jockey_starts,jockey_siegrate
Jule Hoggemann,3.0,0.0
William T. Buick,3.0,0.3333
Katja Rodig,3.0,0.0
Guillaume Trolley De Prevaux,3.0,0.0
Chelsea E. Watlow,3.0,0.0
Rad Koplik,3.0,0.3333
Soufiane Saadi,3.0,0.0
Serena Brotherton,3.0,0.3333
Carlos Lopez,3.0,0.3333
Claudia Fleissner,3.0,0.0
Karen Dieltjens,2.0,0.0
Voher:Sibylle VogtMichael Cadeddu,2.0,0.5
Hugo Journiac,2.0,0.5
Voher:Concetto SantangeloAlexander Pietsch,2.0,0.0
Jason Watson,2.0,0.0
Voher:Sibylle VogtLeon Wolff,2.0,0.5
Voher:Sean ByrneRene Piechulek,2.0,0.5
Julien-L. Guillochon,2.0,0.0
Monique Lübcke,2.0,0.0
Voher:Tomas RomanEliska Fialkova,2.0,0.0
Alberto Sanna,2.0,0.0
Alexis Pouchin,2.0,0.0
Voher:Wladimir PanovLeon Wolff,2.0,0.5
Monir Madihi,2.0,0.0
Rostislav Bens,2.0,0.0
S Spratter,2.0,0.0
Petr Tuma,2.0,0.0
Frida Sandbraaten,2.0,0.0
Francesca Cecchini,2.0,0.0
Simona Laubeova,2.0,0.0
Silvestre De Sousa,2.0,0.5
Mr Strassmeier,2.0,0.5
O Wilson,2.0,0.0
Mickael Barzalona,2.0,0.0
Enzo Corallo,2.0,0.0
Lize Dieteren,2.0,0.0
Gijs C.P. Snijders,2.0,1.0
Filip Hellebrand,2.0,0.0
Tom Marquand,2.0,0.0
Judit Dickinson,2.0,0.0
Jose Goncalves,2.0,0.0
Voher:Konstantin PhillipSenan Macredmond,2.0,0.0
Josef Bartos,2.0,0.0
Theo Bachelot,2.0,0.5
Valmir De Azeredo,1.0,0.0
Vedat Abis,1.0,0.0
Vincent C.Y. Ho,1.0,0.0
Valmir Azeredo,1.0,0.0
Vivien Müller,1.0,0.0
Kirsten Pottle,1.0,0.0
Voher:Anna van den TroostMichaela Malacova,1.0,0.0
Hugo Besnier,1.0,0.0
Voher:Lilli-Marie EngelsAnna van den Troost,1.0,0.0
Voher:Michael CaddeduMichael Cadeddu,1.0,0.0
Jose Pedro Martins Goncalves,1.0,0.0
Voher:Andrea RicupaSenan Macredmond,1.0,1.0
Voher:Konstantin PhillipNina Baltromei,1.0,0.0
J Rogl,1.0,0.0
Voher:Bauyrzhan MurzabayevThore Hammer-Hansen,1.0,1.0
Voher:Liili-Marie EngelsLilli-Marie Engels,1.0,0.0
Jan Faltejsek,1.0,0.0
Jan Havlik,1.0,0.0
Voher:Rene PiechulekThore Hammer-Hansen,1.0,0.0
Voher:Pablo WerderAndrea Ricupa,1.0,0.0
Voher:Senan MacredmondNina Baltromei,1.0,0.0
Voher:Sean ByrneMichal Abik,1.0,0.0
Jaqueline Nutzl,1.0,0.0
Jamie Powell,1.0,0.0
Voher:Patrick GibsonSibylle Vogt,1.0,0.0
Voher:Nina BaltromeiEduardo Pedroza,1.0,0.0
K Zwahlen,1.0,0.0
Voher:Concetto SantangeloLeon Wolff,1.0,0.0
Taylor Fisher,1.0,0.0
Michal Mach,1.0,0.0
B Roesch,1.0,0.0
Noemi Pulcini,1.0,0.0
Oliver Wilson,1.0,0.0
Fabien Lefebvre,1.0,0.0
Mie Bleichfeldt,1.0,0.0
Fabian Xaver Weißmeier,1.0,1.0
Esther Weissmeier,1.0,0.0
Emrah Kurdu,1.0,0.0
Emilia Stegner,1.0,0.0
Marie Behr,1.0,0.0
Matthieu Calbrix,1.0,0.0
Mario Sprusansky,1.0,0.0
Marina Eckert,1.0,0.0
Cecilia Schnyder,1.0,0.0
Stephane Breux,1.0,0.0
Glen Meury,1.0,0.0
C Watlow,1.0,0.0
Frida Valle Skar,1.0,0.0
Kristina Tijanic,1.0,0.0
Laura Karnoll,1.0,0.0
L Rousseau,1.0,0.0
Lenka Neprasova,1.0,0.0
Tony Piccone,1.0,0.0
Aurelien Lemaitre,1.0,1.0
Lilith Bals,1.0,0.0
V Muller,1.0,0.0
Anthony Crastus,1.0,0.0
Luisa Bachleitner,1.0,0.0
Lucie Fialova,1.0,0.0
Tereza Polesna,1.0,0.0
Thomas Trullier,1.0,0.0
Shane Foley,1.0,0.0
Sophie O'Brien,1.0,0.0
Ronny Bonk,1.0,0.0
E Hulsman,1.0,0.0
Dorian Provost,1.0,0.0
Pavel Kasny,1.0,0.0
Selina Spurk,1.0,0.0
Edward Greatrex,1.0,0.0
Ebbe Verhestraeten,1.0,0.0
Earine Dubourg,1.0,0.0
Seppe Balcaen,1.0,1.0
Solange Gourdain,1.0,0.0
Shane J. Gray,1.0,0.0
Nikola Miklova,1.0,0.0
Sean Levey,1.0,1.0
Rocio Relano-Sieira,1.0,0.0
Rens Verberkt,1.0,0.0
Ronan Thomas,1.0,0.0
Saskia Muller,1.0,0.0
Sascha Stappaerts,1.0,0.0
Darragh Keenan,1.0,0.0
Daniel Vyhnalek,1.0,0.0
Radek Koplik,1.0,0.0
Cieren Fallon,1.0,0.0
Salvatore Di Paola,1.0,0.0
Sally Langhard,1.0,0.0
Z Sovan,1.0,0.0
Zoe Bauer,1.0,0.0
Adam Sebesta,1.0,1.0
Sabina Mokrosova,1.0,0.0
Voher:Tomas RomanDavid Liska,1.0,0.0
Voher:Tomas RomanJozef Bojko,1.0,0.0
Voher:Tomas RomanMiguel Lopez,1.0,0.0
Voher:Wladimir PanovEduardo Pedroza,1.0,0.0
Alen Ördög,0.0,0.0
Amina Mathony,0.0,0.0
Andrea Mezzatesta,0.0,0.0
Andrea Schneider,0.0,0.0
Voher:Tommaso ScardinoMichal Abik,0.0,0.0
Voher:Ulan KozhomkulovElisabeth Stahlhut,0.0,0.0
Voher:Vanesa CsernakJose Luis Silverio,0.0,0.0
Voher:Wladimir PanovAnna van den Troost,0.0,0.0
Voher:Wladimir PanovMartin Seidl,0.0,0.0
Voher:Wladimir PanovMiguel Lopez,0.0,0.0
Voher:Wladimir PanovTomas Roman,0.0,0.0
Voher:Wladimir PanovVanesa Csernak,0.0,0.0
Voher:Tomas RomanAndrasch Starke,0.0,0.0
Voher:Tomas RomanJ.L.Silveri,0.0,0.0
Voher:Tomas RomanMartin Seidl,0.0,0.0
Voher:Tomas RomanMichael Cadeddu,0.0,0.0
Voher:Tomas RomanMichaela Malacova,0.0,0.0
Voher:Tomas RomanMichal Abik,0.0,0.0
Voher:Tomas RomanUlan Kozhomkulov,0.0,0.0
Voher:Tommaso ScardinoAnna van den Troost,0.0,0.0
Yusif Rustamov,0.0,0.0
Christopher D. Hayes,0.0,0.0
David Egan,0.0,0.0
Petra Zedkova,0.0,0.0
Robert Havlin,0.0,0.0
Romain Lemiere,0.0,0.0
Ronan P. Whelan,0.0,0.0
Ronja Genzmer,0.0,0.0
Ryan-Lee Moore,0.0,0.0
Dylan Browne Mc Monagle,0.0,0.0
Elin Hedman,0.0,0.0
Elione Chaves,0.0,0.0
Ellie Holder,0.0,0.0
Pavel Tuma,0.0,0.0
Peter Pozar/Slowenien,0.0,0.0
Sean M. Levey,0.0,0.0
Sebastian Wenz,0.0,0.0
Sergej Vasyutov,0.0,0.0
Sophie Tison,0.0,0.0
Moa Fägerhall,0.0,0.0
Nancy Luft,0.0,0.0
Naomi Verheij,0.0,0.0
Nathan Crosse,0.0,0.0
Oliver d'Andigne,0.0,0.0
Emelie Brosig,0.0,0.0
Esra von Kornatzki,0.0,0.0
Eva Buriankova,0.0,0.0
Eva Maria Herresthal,0.0,0.0
Fabienne Zimmermann,0.0,0.0
Stefanie Bahn,0.0,0.0
Calix Moisson,0.0,0.0
Callum Hutchinson,0.0,0.0
Callum Shepherd,0.0,0.0
Carmen Huber,0.0,0.0
Caro Bauer,0.0,0.0
Susanne Rose,0.0,0.0
Szczepan Mazur,0.0,0.0
Maikel Narvaez Bravo,0.0,0.0
Malone Favriaux,0.0,0.0
Mark Wenz,0.0,0.0
Mathis Moeykens,0.0,0.0
Maxime Guyon,0.0,0.0
Michaela Jakabova,0.0,0.0
Tatiana Masova,0.0,0.0
Taylor Kingsley,0.0,0.0
Teagan Padgett,0.0,0.0
Tegan Padgett,0.0,0.0
Tereza Podraska,0.0,0.0
Angeline Batist/Niederlande,0.0,0.0
Angelo Citti,0.0,0.0
Antje Kathrin Thielen,0.0,0.0
Lucas Gueracague,0.0,0.0
Luisa Keller,0.0,0.0
Finley Marsh,0.0,0.0
Frederick Larson,0.0,0.0
Frida Valle-Skar,0.0,0.0
Giulia Pellegrini,0.0,0.0
Klara Chrbolkova,0.0,0.0
Kobe Vanderbeke,0.0,0.0
Laura Coughlan,0.0,0.0
Laura Grosso,0.0,0.0
Lea  Mertes,0.0,0.0
Leo Roussel,0.0,0.0
Leonardo Muas,0.0,0.0
Lewis Edmunds,0.0,0.0
Lotte Haberkorn,0.0,0.0
Balazs Zsanett,0.0,0.0
Voher:A. PietschAlexander Pietsch,0.0,0.0
Voher:Alexander PietschA. Pietsch,0.0,0.0
Voher:Alexander PietschJozef Bojko,0.0,0.0
Voher:Andrea RicupaMichaela Malacova,0.0,0.0
Voher:Andrea RicupaMiguel Lopez,0.0,0.0
Voher:Andrea RicupaRobin Weber,0.0,0.0
Voher:Andrea RicupaThore Hammer-Hansen,0.0,0.0
Voher:Andrew BreslinThore Hammer-Hansen,0.0,0.0
Voher:Anna van den TroostLeon Wolff,0.0,0.0
Voher:Anna van den TroostLilli-Marie Engels,0.0,0.0
Voher:Anna van den TroostMichael Cadeddu,0.0,0.0
Voher:Anna van den TroostSean Byrne,0.0,0.0
Voher:Anna van den TroostThore Hammer-Hansen,0.0,0.0
Voher:Antonia von der ReckeMichaela Malacova,0.0,0.0
Voher:Bauyrzhan MurzabayevEduardo Pedroza,0.0,0.0
Voher:Bauyrzhan MurzabayevMichal Abik,0.0,0.0
Katharina Heise,0.0,0.0
Kevin Stott,0.0,0.0
Helen Böhler,0.0,0.0
Helene Sourbe/Frankreich,0.0,0.0
Irmingard Heßler,0.0,0.0
Jacob Johansen,0.0,0.0
Voher:Bauyrzhan MurzabayevSibylle Vogt,0.0,0.0
Voher:Bayarsaikhan GanbatStefanie Koyuncu,0.0,0.0
Voher:Concetto SantangeloAnna van den Troost,0.0,0.0
Voher:Concetto SantangeloJose Luis Silverio,0.0,0.0
Voher:Concetto SantangeloMartin Laube,0.0,0.0
Voher:Concetto SantangeloMichael Cadeddu,0.0,0.0
Voher:Concetto SantangeloMichaela Malakova,0.0,0.0
Voher:Concetto SantangeloPatrick Gibson,0.0,0.0
Voher:Cristian DemuroDavid Liska,0.0,0.0
Voher:Eduardo PedrozaLeon Wolff,0.0,0.0
Voher:Eduardo PedrozaMiguel Lopez,0.0,0.0
Voher:Eduardo PedrozaThore Hammer-Hansen,0.0,0.0
Voher:Gijs C.P. SnijdersGijs C.P. Snijders,0.0,0.0
Voher:Hugo BoutinCorentin Berge,0.0,0.0
Voher:Hugo BoutinLuke Morris,0.0,0.0
Voher:Hugo BoutinMartin Seidl,0.0,0.0
Voher:Ines LöweLeon Wolff,0.0,0.0
Voher:Ioritz MendizabalMichal Abik,0.0,0.0
Voher:Jack MitchellAdrie de Vries,0.0,0.0
Voher:Jack MitchellClifford Lee,0.0,0.0
Voher:Jack MitchellDavid Liska,0.0,0.0
Voher:Jan FaltejsekJ. Kratochvil,0.0,0.0
Voher:Jan KratochvilJosef Bartos,0.0,0.0
Voher:Janina BoysenMartin Seidl,0.0,0.0
Voher:Janina BoysenPatrick Gibson,0.0,0.0
Voher:Janine BeckmannLilli-Marie Engels,0.0,0.0
Voher:Janine SchmidtJanine Schmidt,0.0,0.0
Voher:Jiri PalikJiri Palik,0.0,0.0
Voher:Jose Luis SilverioBayarsaikhan Ganbat,0.0,0.0
Voher:Josef BojkoJozef Bojko,0.0,0.0
Voher:Julian SixtEduardo Pedroza,0.0,0.0
Voher:Julian SixtJaqueline Laquai,0.0,0.0
Voher:Julian SixtNiazi Ismail,0.0,0.0
Voher:Karen DieltjensJenny Langhard,0.0,0.0
Voher:Konstantin PhillipAdrie de Vries,0.0,0.0
Voher:Konstantin PhillipAndrea Ricupa,0.0,0.0
Voher:Konstantin PhillipBauyrzhan Murzabayev,0.0,0.0
Voher:Konstantin PhillipEduardo Pedroza,0.0,0.0
Voher:Konstantin PhillipElodie Marie Palau Teruel,0.0,0.0
Voher:Konstantin PhillipHugo Boutin,0.0,0.0
Voher:Konstantin PhillipMichael Cadeddu,0.0,0.0
Voher:Konstantin PhillipRene Piechulek,0.0,0.0
Voher:Lennart Hammer-HansenRobin Weber,0.0,0.0
Voher:Leon WolffDavid Liska,0.0,0.0
Voher:Leon WolffRene Piechulek,0.0,0.0
Voher:Leon WolffVanesa Csernak,0.0,0.0
Voher:Lilli-Marie EngelsMirko Sanna,0.0,0.0
Voher:Lilli-Marie EngelsWladimir Panov,0.0,0.0
Voher:Lukas DelozierClement Lecoeuvre,0.0,0.0
Voher:Lukas DelozierDavid Liska,0.0,0.0
Voher:Lukas DelozierEsther Ruth Weißmeier,0.0,0.0
Voher:Lukas DelozierThore Hammer-Hansen,0.0,0.0
Voher:Luke MorrisBertrand Flandrin,0.0,0.0
Voher:Marissa PottersJudit Dickinson,0.0,0.0
Voher:Martin LaubeM. Laube,0.0,0.0
Voher:Martin SeidlWladimir Panov,0.0,0.0
Voher:Matthew Sebastian JohnsonDavid Liska,0.0,0.0
Voher:Matthew Sebastian JohnsonPatrick Gibson,0.0,0.0
Voher:Matthew Sebastian JohnsonThore Hammer-Hansen,0.0,0.0
Voher:Melina EhmElisabeth Stahlhut,0.0,0.0
Voher:Melina EhmLilli-Marie Engels,0.0,0.0
Voher:Michael CadedduEsther Ruth Weißmeier,0.0,0.0
Voher:Michal AbikEduardo Pedroza,0.0,0.0
Voher:Michal AbikMichael Abik,0.0,0.0
Voher:Michal AbikSean Byrne,0.0,0.0
Voher:Miguel LopezWladimir Panov,0.0,0.0
Voher:Mirko SannaBayarsaikhan Ganbat,0.0,0.0
Voher:Nicol PolliMartin Laube,0.0,0.0
Voher:Nicol PolliRene Koplik,0.0,0.0
Voher:Nicol PolliSean Byrne,0.0,0.0
Voher:Nicol PolliShuichi Terachi,0.0,0.0
Voher:Nina BaltromeiAm. Nina Baltromei,0.0,0.0
Jerome Moutard,0.0,0.0
Joana Glienke,0.0,0.0
Josef Borc,0.0,0.0
Jozef Takacs,0.0,0.0
Judith Dickinson,0.0,0.0
Julia Gruschka,0.0,0.0
Julia Klein,0.0,0.0
Karolina Hroskova,0.0,0.0
