trainer,trainer_starts,trainer_siegrate
G. C.P. Snijders/Niederlande,13.0,0.3846
M. Lübcke,13.0,0.0
M. Stanislawska,13.0,0.1538
D. Müller,13.0,0.0
Christian Jm Wolters,13.0,0.0
Jana Manova,12.0,0.0
B. Roesch,12.0,0.0
H. Reichert,12.0,0.1667
S. Müller,12.0,0.25
B. Sofsky-Prappacher,11.0,0.0
Frank Fuhrmann,11.0,0.1818
R. Jansen,11.0,0.0
A. Joy Swann,11.0,0.0
Christian Frhr. V. D. Recke,10.0,0.2
Marcel Weiß,10.0,0.4
K. Kobzarev,10.0,0.0
Christel Lenaers,10.0,0.1
P. Gehm,10.0,0.1
R. Rohne,10.0,0.0
Pierre Jean Carvalho,10.0,0.1
L. Janatkova,10.0,0.2
A Massaad,10.0,0.0
J. Neuroth,9.0,0.0
Gordan Batistic,9.0,0.3333
S. Mark Prescott,9.0,0.3333
Eva Fabianova,9.0,0.2222
E Hinzmann,9.0,0.1111
Oliver Schnakenberg,9.0,0.1111
Hans-Albert Blume,8.0,0.0
P Jonkhart,8.0,0.0
Birgit Wagner,8.0,0.25
H. Populoh,8.0,0.125
T. A.J. Hendriks/Niederlande,8.0,0.0
C Pietsch,8.0,0.125
S. Kobayashi,8.0,0.125
K. Harms,8.0,0.125
E. Pils,8.0,0.125
M. Bach,8.0,0.125
P. Dr. Gerhard Walter Sybrecht,8.0,0.0
Bernd Schrodl,8.0,0.25
Werner Glanz,8.0,0.0
Frau S Bruggemann,8.0,0.125
A Weidler,7.0,0.0
C. Ferland,7.0,0.0
T. Gries,7.0,0.2857
D. Renate Fries-Jung,7.0,0.0
S. Schöndorf,7.0,0.0
Alina Schubert,7.0,0.0
R. Heimburger,7.0,0.1429
J H Smith,7.0,0.0
Laura Giesgen,7.0,0.0
A. Meinken,7.0,0.0
M. G. Mintchev,7.0,0.1429
H. Stolberg,7.0,0.1429
M. Schwinn,7.0,0.1429
Michael Figge,7.0,0.2857
J Beckmann,7.0,0.1429
N. Char,7.0,0.0
A. Ulrike Liebert,6.0,0.1667
H. Sauer,6.0,0.5
L. Stephanie Steudle,6.0,0.0
M Megsner,6.0,0.1667
M. Kalcik,6.0,0.0
M. Havelkova,6.0,0.0
V. Jandova,6.0,0.3333
K. Richard Burke,6.0,0.1667
Fabian Xaver Weißmeier,6.0,0.0
P Bradik,6.0,0.0
P. Decouz,6.0,0.0
K. Geerts/Belgien,6.0,0.1667
P. Kohl,6.0,0.1667
E. Schiel,6.0,0.0
E. M. Verheij,6.0,0.0
S. Kästner,6.0,0.0
A. Garske,6.0,0.0
T. Donworth,5.0,0.0
A. Schneider,5.0,0.0
T. Reineke,5.0,0.2
D. Pavel,5.0,0.0
P. Lanslots,5.0,0.0
P. van Kempen,5.0,0.0
P. Claessen,5.0,0.0
Marian Falk Weißmeier,5.0,0.2
M. Schu,5.0,0.2
Erika Mäder,5.0,0.0
S Strassmeier,5.0,0.4
Hans Blume,5.0,0.0
Kim-L Nakelski,5.0,0.2
D Paulick,5.0,0.2
L. Pauwels,5.0,0.0
J Pohl,5.0,0.0
Jean-Pierre Carvalho,5.0,0.2
J. Novakova,5.0,0.0
Adel Massaad,5.0,0.0
Marco Angermann,5.0,0.0
R Jansen,5.0,0.0
H A Peeters,4.0,0.25
E M Verheij,4.0,0.0
F. Neuberg,4.0,0.25
Marc Timpelan,4.0,0.25
M. Kriegsheim,4.0,0.0
E. Storp,4.0,0.0
F. Henri Graffard,4.0,0.25
F. Graffard/Frankreich,4.0,0.25
A. M. Balding,4.0,0.5
B. C. Hoorens van Heyningen,4.0,0.0
C. Appleby,4.0,0.25
B Muhlbauer,4.0,0.0
F Maurer,4.0,0.25
Dalibor Török,4.0,0.25
M Mayer,4.0,0.0
Christian Peterschmitt,4.0,0.0
Christian J.-M. Wolters,4.0,0.0
Gunter Richter,4.0,0.25
P. Hribar/Slowenien,4.0,0.0
G. Th. Zoetelief,4.0,0.75
D Moser,4.0,0.25
S. C. Williams/England,4.0,0.25
S Wenz,4.0,0.0
R. Vinklarek,4.0,0.0
J. Vana jun.,4.0,0.25
S. Spurk,4.0,0.25
Silke Brüggemann,4.0,0.0
Z. Mimra,3.0,0.0
J. Lehmann,3.0,0.0
Veronika Jandova,3.0,0.0
A. Kolpondinou,3.0,0.0
N Minner,3.0,0.0
M Timpelan,3.0,0.0
M. Reiche,3.0,0.3333
Frank Maurer,3.0,0.0
O K Rudolph,3.0,0.0
Peter Verberkt,3.0,0.0
S. Jane Hellier,3.0,0.0
A. Petrlik,3.0,0.0
A. u.Guiseppe Botti/Frankreich,3.0,1.0
U Frohlich,3.0,0.0
P. Wroblewski/Polen,3.0,0.0
Frau B C Hoorens V Heyningen,3.0,0.0
Dominik Moser,3.0,0.0
M. Kaspar/Tschechien,3.0,0.0
G. Scott,3.0,0.6667
M. Jodlowski,3.0,0.3333
D. Menuisier/England,3.0,0.3333
H J Populoh,3.0,0.3333
S. Eloise Comijs/Niederlande,3.0,0.0
Heidi Monetha,3.0,0.0
H. Monetha,3.0,0.0
L J V D Bosch,3.0,0.0
Armin Weidler,3.0,0.0
Sarka Schütz,3.0,0.3333
Jörg Hartmann,3.0,0.0
J Hartmann,3.0,0.0
C Huber,3.0,0.3333
S. James Stokes,3.0,0.3333
