horse_name,bisherige_starts,bisherige_siege,siegrate_historisch,race_date
Culcor,2,0.0,0.0,2024-05-26
Victory Vertical,2,0.0,0.0,2024-05-26
Family Affair,1,0.0,0.0,2024-05-26
Wonderful Affair,0,0.0,0.0,2024-05-30
Moonlight Dreamer,1,0.0,0.0,2024-05-30
Kenny,0,0.0,0.0,2024-05-30
La Queen,4,0.0,0.0,2024-05-30
Know Thyself,0,0.0,0.0,2024-05-30
Magritte Du Champ,2,0.0,0.0,2024-05-30
Soul Dancer,1,0.0,0.0,2024-05-30
Vista Fleur,0,0.0,0.0,2024-05-30
Westminster Night,1,0.0,0.0,2024-05-30
Kendly,0,0.0,0.0,2024-05-30
Luxury,1,0.0,0.0,2024-05-30
Joli Prince,0,0.0,0.0,2024-05-30
Zulu Nyala,0,0.0,0.0,2024-05-30
Baron Mayson,1,0.0,0.0,2024-05-30
Elle Aigle,1,0.0,0.0,2024-06-01
Giuseppe Ballocco,0,0.0,0.0,2024-06-01
Norton,1,0.0,0.0,2024-06-01
Tilda Rangau,2,0.0,0.0,2024-06-01
Geminiano,1,0.0,0.0,2024-06-01
Desposita,1,0.0,0.0,2024-06-01
Nerion,2,0.0,0.0,2024-06-01
Jack O'Boy,0,0.0,0.0,2024-06-01
Spotlight,0,0.0,0.0,2024-06-01
Balsamand,0,0.0,0.0,2024-06-02
Bella Luna,1,0.0,0.0,2024-06-02
Bärbelchen,1,0.0,0.0,2024-06-02
Elle,0,0.0,0.0,2024-06-02
Cruella De Vil,0,0.0,0.0,2024-06-02
Marc Aurel,3,0.0,0.0,2024-06-02
Greased Lightning,2,0.0,0.0,2024-06-08
Missratulix,1,0.0,0.0,2024-06-08
Darien,1,0.0,0.0,2024-06-08
Feerie,1,0.0,0.0,2024-06-08
Sternfeuer,2,0.0,0.0,2024-06-08
Alidawa,0,0.0,0.0,2024-06-09
Weragua,1,1.0,1.0,2024-06-09
Princess,0,0.0,0.0,2024-06-09
Levanto,3,0.0,0.0,2024-06-09
Chamber Choir,0,0.0,0.0,2024-06-09
Indian Hannieja,2,0.0,0.0,2024-06-09
Bint Al Karama,1,0.0,0.0,2024-06-09
Caucasian,1,0.0,0.0,2024-06-09
Sussex,2,0.0,0.0,2024-06-09
Nacello,1,0.0,0.0,2024-06-09
Skywalk,2,0.0,0.0,2024-06-09
Shamadram,0,0.0,0.0,2024-06-09
Future,0,0.0,0.0,2024-06-09
Vernatsch,3,0.0,0.0,2024-06-09
Tootsie,3,0.0,0.0,2024-06-09
Kongo,1,0.0,0.0,2024-06-09
Lady O'Connor,2,0.0,0.0,2024-06-09
Fang Mich,1,0.0,0.0,2024-06-15
Donna Dorothea,1,0.0,0.0,2024-06-15
Amos,3,1.0,0.3333333333333333,2024-06-15
Treno,0,0.0,0.0,2024-06-15
Bellary,1,0.0,0.0,2024-06-15
Babesia,1,0.0,0.0,2024-06-15
All For One,2,0.0,0.0,2024-06-16
Duke Harry,1,0.0,0.0,2024-06-16
Koebes,2,0.0,0.0,2024-06-16
Ismalia,0,0.0,0.0,2024-06-16
Miss Cynthia,0,0.0,0.0,2024-06-16
Meer,3,0.0,0.0,2024-06-16
Alucinda,4,0.0,0.0,2024-06-16
Sirjan,1,0.0,0.0,2024-06-16
Noblesse oblige,2,0.0,0.0,2024-06-16
Any Moon,2,1.0,0.5,2024-06-16
Ivorio,2,0.0,0.0,2024-06-16
Viva Bella Vita,3,0.0,0.0,2024-06-16
Moukoko,4,0.0,0.0,2024-06-16
Attentive,0,0.0,0.0,2024-06-22
Havrianka,0,0.0,0.0,2024-06-22
Linzona,2,0.0,0.0,2024-06-22
Moosbeere,0,0.0,0.0,2024-06-22
Gamine,1,0.0,0.0,2024-06-22
Waterproof,4,0.0,0.0,2024-06-23
Damian,2,0.0,0.0,2024-06-23
Naitan,0,0.0,0.0,2024-06-23
Nisino,0,0.0,0.0,2024-06-23
Aspallonia,1,0.0,0.0,2024-06-23
Shining Past,1,0.0,0.0,2024-06-23
Sweet Hole,3,0.0,0.0,2024-06-23
Gallanticus,2,0.0,0.0,2024-06-23
Wave Machine,3,0.0,0.0,2024-06-23
Action Point,0,0.0,0.0,2024-06-23
Miss Black Jack,0,0.0,0.0,2024-06-23
Wodka Lemon,1,0.0,0.0,2024-06-24
Brametana,1,0.0,0.0,2024-06-24
Gegenstrom,1,0.0,0.0,2024-06-24
Masked Lips,0,0.0,0.0,2024-06-30
Winning Soldier,3,0.0,0.0,2024-06-30
Night Runner,1,0.0,0.0,2024-06-30
Sea The Lady,0,0.0,0.0,2024-06-30
Blue Zone,4,1.0,0.25,2024-06-30
Akronym,0,0.0,0.0,2024-07-03
Emir,1,0.0,0.0,2024-07-03
Son Roc,1,0.0,0.0,2024-07-03
Spicy Water,4,0.0,0.0,2024-07-03
Seneschal,0,0.0,0.0,2024-07-03
Lady Calcaria,2,0.0,0.0,2024-07-04
Mythico,1,1.0,1.0,2024-07-04
Schützenprinz,1,0.0,0.0,2024-07-04
Pretty Rocket,0,0.0,0.0,2024-07-04
Taycan,2,0.0,0.0,2024-07-04
Dawn Mission,3,0.0,0.0,2024-07-04
Novesia,3,1.0,0.3333333333333333,2024-07-06
Quantum Memories,2,0.0,0.0,2024-07-06
Skylo,2,0.0,0.0,2024-07-06
Flotte Lotte,3,0.0,0.0,2024-07-06
Understated,1,1.0,1.0,2024-07-06
Wiesentau,1,0.0,0.0,2024-07-06
Nepalo,6,3.0,0.5,2024-07-06
Jonatan,3,1.0,0.3333333333333333,2024-07-07
Atze,3,1.0,0.3333333333333333,2024-07-07
Ghorgan,1,0.0,0.0,2024-07-07
Like Magic,3,1.0,0.3333333333333333,2024-07-07
Crystal Estrella,2,0.0,0.0,2024-07-07
Novemberrose,0,0.0,0.0,2024-07-07
Degas,1,0.0,0.0,2024-07-07
Borna,0,0.0,0.0,2024-07-07
Mister Gatz,0,0.0,0.0,2024-07-07
Larios,3,1.0,0.3333333333333333,2024-07-07
Mina Rashid,0,0.0,0.0,2024-07-07
Versailles,0,0.0,0.0,2024-07-07
Irida,5,1.0,0.2,2024-07-07
Kalimdor,3,0.0,0.0,2024-07-11
Morning Dew,0,0.0,0.0,2024-07-11
It's Magic,0,0.0,0.0,2024-07-11
Poyraz Approach,4,0.0,0.0,2024-07-13
Wanilla,0,0.0,0.0,2024-07-13
Alexandretta,0,0.0,0.0,2024-07-13
Annona,1,0.0,0.0,2024-07-13
Queen's William,2,0.0,0.0,2024-07-13
Lichtstern,0,0.0,0.0,2024-07-14
Imano,2,0.0,0.0,2024-07-14
Wingsofangel,0,0.0,0.0,2024-07-14
Dagci's Diamond,3,0.0,0.0,2024-07-14
Soft Winds,0,0.0,0.0,2024-07-14
Walkabove,1,0.0,0.0,2024-07-14
Yashar D.A. (OX),0,0.0,0.0,2024-07-14
Princess T (OX),0,0.0,0.0,2024-07-14
Comte Noir,4,0.0,0.0,2024-07-14
Vibia Sabina,1,1.0,1.0,2024-07-14
Dark D'oro,3,0.0,0.0,2024-07-20
Areon,2,0.0,0.0,2024-07-20
Don't Dream,0,0.0,0.0,2024-07-20
La Salinero,0,0.0,0.0,2024-07-20
Ksiaze Persji,0,0.0,0.0,2024-07-20
Due Diligence,0,0.0,0.0,2024-07-21
Ramz,3,0.0,0.0,2024-07-21
Sammarco,1,0.0,0.0,2024-07-21
Paramount Park,2,0.0,0.0,2024-07-21
Feel the Vibe,0,0.0,0.0,2024-07-21
Stam Wars,7,1.0,0.14285714285714285,2024-07-21
Dacinni,0,0.0,0.0,2024-07-21
Teresa Mendoza,1,0.0,0.0,2024-07-21
Let Em Have It,6,0.0,0.0,2024-07-21
New Starlet,0,0.0,0.0,2024-07-21
Ivy on Fire,0,0.0,0.0,2024-07-25
Thomasine,0,0.0,0.0,2024-07-25
Geralt Of Rivia,6,0.0,0.0,2024-07-25
Nana Princess,3,1.0,0.3333333333333333,2024-07-25
Ivo,0,0.0,0.0,2024-07-25
Flamingo Girl,0,0.0,0.0,2024-07-27
Magic Moment,1,0.0,0.0,2024-07-27
