trainer,trainer_starts,trainer_siegrate
J. Seidl,1.0,0.0
M. Schwinn,7.0,0.14285714285714285
G. Meijer/Niederlande,0.0,0.0
F. Gratz,31.0,0.0967741935483871
S. Scherer,1.0,0.0
P. Lanslots,5.0,0.0
A. Biedermann,26.0,0.07692307692307693
M. Kaspar/Tschechien,3.0,0.0
M. Stanislawska,13.0,0.15384615384615385
B. Hellier,25.0,0.08
J. Demele,1.0,0.0
M. Münch/Frankreich,0.0,0.0
S. Schöndorf,7.0,0.0
L. Giesgen,13.0,0.07692307692307693
M. Reiche,3.0,0.3333333333333333
C. Fellowes,1.0,0.0
V. Head/Frankreich,1.0,0.0
S. C. Williams/England,4.0,0.25
L. Urbanek,14.0,0.14285714285714285
D. Moser,68.0,0.10294117647058823
S. Zawgorodny,51.0,0.0784313725490196
L. Manuela Dams,29.0,0.06896551724137931
N. Minner/Belgien,2.0,0.0
R. N.J.van Eck,46.0,0.043478260869565216
K. Lanslots/Belgien,2.0,0.0
A. Bollien,30.0,0.03333333333333333
C. Masser,41.0,0.07317073170731707
M. Keller,0.0,0.0
C. Huber,25.0,0.0
N. Char,7.0,0.0
J. Patrick O'Brien,2.0,0.5
R. G. Hughes,0.0,0.0
G. Molnar/Ungarn,0.0,0.0
G. C.P. Snijders/Niederlande,13.0,0.38461538461538464
C. Ferland,7.0,0.0
D. Menuisier/England,3.0,0.3333333333333333
S. Lanslots,0.0,0.0
S. Schütz,139.0,0.14388489208633093
F. Maurer,14.0,0.14285714285714285
S. Möller,37.0,0.05405405405405406
A. Watson,15.0,0.2
S. Kobayashi,8.0,0.125
H. Pantall,18.0,0.1111111111111111
B. Mühlbauer,27.0,0.037037037037037035
J. David Hillis,151.0,0.059602649006622516
B. Roesch,12.0,0.0
P. Hribar/Slowenien,4.0,0.0
C. Delcher-Sanchez/Frankreich,0.0,0.0
K. Ziemianski/Polen,0.0,0.0
M. Pecheur,84.0,0.15476190476190477
P. Decouz,6.0,0.0
H. Blume,59.0,0.1016949152542373
A. Massaad,69.0,0.2028985507246377
D. Postema/Niederlande,26.0,0.038461538461538464
W. Haustein,44.0,0.13636363636363635
G. Richter,152.0,0.09868421052631579
A. Schleusner-Fruhriep,153.0,0.08496732026143791
V. Müller,56.0,0.07142857142857142
M. Türk,26.0,0.0
M. Megsner,32.0,0.15625
W. J. Haggas/England,0.0,0.0
R. van den Troost,18.0,0.0
M. Mihalik,17.0,0.058823529411764705
C. Bocskai,85.0,0.10588235294117647
J. Carvalho,108.0,0.12037037037037036
J. Broz,159.0,0.10062893081761007
E. Pils,8.0,0.125
S. Straßmeier,27.0,0.07407407407407407
A. Luft,13.0,0.0
J. Neuroth,9.0,0.0
A. Fabre,2.0,0.0
S. Mark Prescott,9.0,0.3333333333333333
G. Scott,3.0,0.6666666666666666
K. Richard Burke,6.0,0.16666666666666666
W. Glanz,109.0,0.06422018348623854
O. Schnakenberg,237.0,0.05485232067510549
G. Geisler,218.0,0.12844036697247707
M. Figge,204.0,0.058823529411764705
J. Reese,194.0,0.12886597938144329
M. Hofer,88.0,0.056818181818181816
A. Helfenbein,35.0,0.14285714285714285
S. Steinberg,97.0,0.24742268041237114
H. Sauer,6.0,0.5
J. H. Smith,67.0,0.08955223880597014
M. Schu,5.0,0.2
J. Mathijs Snackers/Niederlande,1.0,1.0
S. Brüggemann,55.0,0.10909090909090909
A. Weidler,65.0,0.046153846153846156
H. Populoh,8.0,0.125
D. Jörg Sager,25.0,0.04
J. Chodur,1.0,1.0
M. Pisl,0.0,0.0
G. Witold Wroblewski,1.0,0.0
B. Malkova,2.0,0.0
P. Hlavaty,14.0,0.07142857142857142
H. Vorsilkova,32.0,0.0625
A. Petrlik,3.0,0.0
M. Havelkova,6.0,0.0
C. Zschache,18.0,0.0
B. Schrödl,58.0,0.10344827586206896
A. Baum,2.0,0.0
J. Manova,72.0,0.125
C. Sprengel,145.0,0.12413793103448276
K. Kerekes,85.0,0.11764705882352941
M. Kalcik,6.0,0.0
C. Hottewitzsch,18.0,0.0
M. Timpelan,102.0,0.06862745098039216
J. Pohl,23.0,0.043478260869565216
F. Mehl,34.0,0.0
U. Timmermann,28.0,0.03571428571428571
R. Siegert,16.0,0.0
P. Vovcenko,286.0,0.12237762237762238
B. Nedorostek,283.0,0.12367491166077739
R. Dzubasz,345.0,0.1246376811594203
E. Fabianova,134.0,0.15671641791044777
J. Mayer,224.0,0.05357142857142857
S. Richter,231.0,0.12987012987012986
P. Bradik,62.0,0.12903225806451613
D. Paulick,116.0,0.12931034482758622
G. Pap,0.0,0.0
J. Hartmann,83.0,0.03614457831325301
K. Nakelski,25.0,0.04
A. Ulrike Liebert,4.0,0.0
J. Mehl,18.0,0.0
U. Schwinn,112.0,0.0625
A. Suborics,310.0,0.14516129032258066
F. Jacobs,104.0,0.08653846153846154
D. Andreas Bolte,313.0,0.12460063897763578
M. Weiß,233.0,0.1759656652360515
J. Korpas,206.0,0.09223300970873786
J. Rogl,23.0,0.0
W. Hickst,269.0,0.1524163568773234
G. Batistic,84.0,0.10714285714285714
A. Wöhler,400.0,0.215
H. Grewe,432.0,0.2523148148148148
T. A.J. Hendriks/Niederlande,4.0,0.0
A. Kleinkorres,262.0,0.09923664122137404
C. Kehrer,25.0,0.04
C. Peterschmitt,38.0,0.07894736842105263
J. Beckmann,101.0,0.0594059405940594
R. Weißmeier,26.0,0.11538461538461539
S. Weis,161.0,0.08074534161490683
R. Naskov,25.0,0.0
A. Schubert,49.0,0.12244897959183673
D. Müller,12.0,0.0
P. Csontos,14.0,0.07142857142857142
S. Rank,17.0,0.058823529411764705
E. Hinzmann,61.0,0.08196721311475409
M. Beer,36.0,0.05555555555555555
J. Boysen,177.0,0.11299435028248588
S. Leirs,18.0,0.05555555555555555
S. Wenz,34.0,0.029411764705882353
L. J.van den Bosch,13.0,0.0
G. Maronka,1.0,0.0
C. Lenaers,25.0,0.08
P. G.M. Verberkt,26.0,0.11538461538461539
U. Fröhlich,27.0,0.037037037037037035
R. van der Meulen,173.0,0.15606936416184972
C. J.-M. Wolters,123.0,0.056910569105691054
M. Angermann,206.0,0.05339805825242718
S. Koyuncu,35.0,0.11428571428571428
B. Wagner,35.0,0.05714285714285714
D. Christine Paraknewitz-Kalla,51.0,0.11764705882352941
Y. Almenräder,313.0,0.134185303514377
S. Smrczek,417.0,0.12709832134292565
C. Thomas,33.0,0.06060606060606061
F. Xaver Weißmeier,294.0,0.11904761904761904
K. Gernreich,213.0,0.09389671361502347
P. Schiergen,420.0,0.25476190476190474
F. Fuhrmann,713.0,0.07012622720897616
C. Frhr. v. d. Recke,282.0,0.13829787234042554
M. Falk Weißmeier,224.0,0.10714285714285714
E. Mäder,114.0,0.14035087719298245
