jockey,jockey_starts,jockey_siegrate
Voher:Konstantin PhillipSenan Macredmond,2,0.0
Callum Shepherd,0,0.0
Andrea Mezzatesta,0,0.0
Lewis Edmunds,0,0.0
Voher:Anna van den TroostMichaela Malacova,1,0.0
Voher:Concetto SantangeloJose Luis Silverio,0,0.0
Voher:Concetto SantangeloPatrick Gibson,0,0.0
Voher:Pavlina KasparovaElodie Marie Palau Teruel,0,0.0
Voher:Wladimir PanovWladimir Psnov,0,0.0
Shane Foley,0,0.0
Voher:Sofie Hammer-HansenJulian Sixt,0,0.0
Lize H.W. Dieteren,9,0.1111111111111111
Voher:Gijs C.P. SnijdersGijs C.P. Snijders,0,0.0
Kimberly van der Vegt,4,0.0
Frederick Larson,0,0.0
Voher:Julian SixtJaqueline Laquai,0,0.0
Maikel Narvaez Bravo,0,0.0
Soufiane Saadi,3,0.0
Voher:Leon WolffDavid Liska,0,0.0
Sebastian Wenz,0,0.0
Mark Wenz,0,0.0
Pavel Tuma,0,0.0
Sonja Daroszewski,11,0.09090909090909091
Tereza Polesna,1,0.0
Joana Glienke,0,0.0
Julia Klein,0,0.0
Luisa Stephanie Steudle,7,0.0
Janine Schmidt,5,0.0
Ronan Thomas,1,0.0
Voher:Melina EhmLilli-Marie Engels,0,0.0
Pierre Bazire,4,0.0
Voher:Melina EhmElisabeth Stahlhut,0,0.0
Yusif Rustamov,0,0.0
Mickael Forest,4,0.0
Voher:Nina BaltromeiSean Byrne,0,0.0
Rocio Relano-Sieira,1,0.0
Serena Brotherton,2,0.5
Elin Hedman,0,0.0
Taylor Kingsley,0,0.0
Voher:Eduardo PedrozaMiguel Lopez,0,0.0
Voher:Tomas RomanMichaela Malacova,0,0.0
Bauyrzhan Murzabayev,359,0.16434540389972144
Rene Koplik,42,0.047619047619047616
Klara Chrbolkova,0,0.0
Tatiana Masova,0,0.0
Sarah Winkeler,10,0.3
Anna Lebduskova,0,0.0
Kevin Woodburn,5,0.2
Erhan Yavuz,34,0.0
Voher:Concetto SantangeloAlexander Pietsch,2,0.0
Voher:Concetto SantangeloAnna van den Troost,0,0.0
Voher:Jose Luis SilverioBayarsaikhan Ganbat,0,0.0
Voher:Janine BeckmannLilli-Marie Engels,0,0.0
Voher:Concetto SantangeloMichaela Malakova,0,0.0
Salvatore Di Paola,1,0.0
Voher:Andrea RicupaSenan Macredmond,1,1.0
Voher:Andrea RicupaThore Hammer-Hansen,0,0.0
Voher:Lennart Hammer-HansenRobin Weber,0,0.0
Voher:Andrea RicupaMichaela Malacova,0,0.0
Liubov Grigorieva,13,0.07692307692307693
Angelo Citti,0,0.0
Lucas Gueracague,0,0.0
Luisa Bachleitner,1,0.0
Ismail Koyuncu,7,0.14285714285714285
Leonardo Muas,0,0.0
Mathis Moeykens,0,0.0
Balazs Zsanett,0,0.0
Calix Moisson,0,0.0
Moa Fägerhall,0,0.0
Luisa Keller,0,0.0
Martin Srnec,5,0.4
Voher:Nina BaltromeiSara Horcajada Bermudez,0,0.0
Mickaelle Michel,5,0.0
Christopher D. Hayes,0,0.0
Voher:Senan MacredmondMichaela Malakova,0,0.0
Voher:Sibylle VogtLeon Wolff,2,0.5
Emelie Brosig,0,0.0
Lilith Bals,1,0.0
Antonio Orani,3,0.3333333333333333
Monir Madihi,2,0.0
Jan Kovar,0,0.0
Voher:Andrea RicupaRobin Weber,0,0.0
Aurelien Lemaitre,0,0.0
Tegan Padgett,0,0.0
Lize Dieteren,0,0.0
